iter	Passed	Remaining
681	18639	8691
682	18665	8663
683	18694	8636
684	18718	8607
685	18746	8580
686	18771	8552
687	18799	8525
688	18826	8497
689	18856	8471
690	18882	8443
691	18908	8415
692	18936	8388
693	18963	8361
694	18990	8333
695	19017	8306
696	19043	8278
697	19072	8252
698	19096	8223
699	19124	8196
700	19154	8169
701	19182	8142
702	19210	8115
703	19241	8090
704	19269	8063
705	19299	8037
706	19324	8008
707	19351	7981
708	19379	7953
709	19408	7927
710	19436	7900
711	19467	7874
712	19497	7848
713	19526	7821
714	19554	7794
715	19581	7766
716	19607	7739
717	19632	7710
718	19657	7682
719	19688	7656
720	19717	7629
721	19745	7602
722	19775	7576
723	19803	7549
724	19829	7521
725	19866	7497
726	19894	7470
727	19925	7444
728	19953	7417
729	19980	7390
730	20004	7361
731	20031	7334
732	20057	7306
733	20084	7278
734	20113	7251
735	20137	7223
736	20162	7195
737	20190	7167
738	20218	7140
739	20246	7113
740	20278	7087
741	20302	7059
742	20329	7031
743	20356	7004
744	20381	6976
745	20409	6949
746	20439	6922
747	20470	6896
748	20496	6868
749	20526	6842
750	20552	6814
751	20580	6787
752	20608	6760
753	20636	6732
754	20665	6705
755	20694	6679
756	20724	6652
757	20754	6626
758	20780	6598
759	20810	6571
760	20840	6545
761	20867	6517
762	20893	6489
763	20922	6463
764	20951	6436
765	20978	6408
766	21004	6380
767	21030	6352
768	21056	6325
769	21081	6297
770	21111	6270
771	21141	6243
772	21167	6216
773	21191	6187
774	21217	6159
775	21244	6132
776	21275	6106
777	21305	6079
778	21334	6052
779	21359	6024
780	21387	5997
781	21415	5970
782	21443	5942
783	21468	5914
784	21498	5888
785	21531	5862
786	21556	5834
787	21585	5807
788	21610	5779
789	21634	5750
790	21661	5723
791	21684	5694
792	21713	5667
793	21741	5640
794	21772	5614
795	21796	5586
796	21822	5558
797	21846	5529
798	21869	5501
799	21894	5473
800	21922	5446
801	21953	5419
802	21983	5393
803	22015	5366
804	22044	5340
805	22071	5312
806	22098	5284
807	22125	5257
808	22150	5229
809	22180	5202
810	22210	5176
811	22241	5149
812	22270	5122
813	22298	5095
814	22326	5068
815	22352	5040
816	22381	5013
817	22409	4985
818	22432	4957
819	22461	4930
820	22485	4902
821	22513	4875
822	22545	4848
823	22571	4821
824	22597	4793
825	22626	4766
826	22655	4739
827	22683	4711
828	22708	4684
829	22737	4657
830	22764	4629
831	22788	4601
832	22811	4573
833	22836	4545
834	22862	4517
835	22890	4490
836	22917	4463
837	22947	4436
838	22971	4408
839	22994	4379
840	23021	4352
841	23046	4324
842	23075	4297
843	23102	4270
844	23137	4244
845	23166	4217
846	23193	4189
847	23222	4162
848	23248	4134
849	23276	4107
850	23307	4080
851	23332	4053
852	23360	4025
853	23388	3998
854	23414	3970
855	23441	3943
856	23472	3916
857	23506	3890
858	23537	3863
859	23569	3836
860	23599	3809
861	23627	3782
862	23653	3754
863	23680	3727
864	23709	3700
865	23737	3673
866	23771	3646
867	23797	3618
868	23823	3591
869	23853	3564
870	23883	3537
871	23906	3509
872	23934	3481
873	23957	3453
874	23987	3426
875	24016	3399
876	24041	3371
877	24066	3344
878	24093	3316
879	24121	3289
880	24145	3261
881	24172	3233
882	24204	3207
883	24232	3179
884	24262	3152
885	24293	3125
886	24318	3098
887	24346	3070
888	24374	3043
889	24400	3015
890	24427	2988
